incoming_record_id,db_record_id,is_true_match
1,29406,1
2,28384,1
3,112477,1
4,183522,1
5,165776,1
6,165919,1
7,96579,1
8,98179,1
9,194996,1
10,150529,1
11,145161,1
12,51023,1
13,48120,1
14,13379,1
15,110063,1
16,98267,1
17,64818,1
18,11581,1
19,89614,1
20,126161,1
21,33852,1
22,195263,1
23,93657,1
24,82398,1
25,37531,1
26,193782,1
27,27574,1
28,84402,1
29,180680,1
30,62359,1
31,63373,1
32,159725,1
33,22927,1
34,122110,1
35,90303,1
36,57966,1
37,15404,1
38,191329,1
39,39425,1
40,24302,1
41,151043,1
42,85781,1
43,181316,1
44,61345,1
45,188250,1
46,127360,1
47,27990,1
48,7960,1
49,194336,1
50,92221,1
51,131891,1
52,28828,1
53,29183,1
54,194089,1
55,20149,1
56,146696,1
57,153646,1
58,103893,1
59,152039,1
60,29641,1
61,167659,1
62,177868,1
63,24909,1
64,121932,1
65,199601,1
66,177230,1
67,129542,1
68,128596,1
69,187590,1
70,67794,1
71,18544,1
72,61287,1
73,9038,1
74,123167,1
75,70889,1
76,73368,1
77,34841,1
78,50280,1
79,186264,1
80,126374,1
81,82041,1
82,30036,1
83,142423,1
84,197975,1
85,80541,1
86,197551,1
87,79130,1
88,165576,1
89,110114,1
90,177248,1
91,126856,1
92,5594,1
93,166539,1
94,153125,1
95,14395,1
96,136518,1
97,138960,1
98,155215,1
99,139277,1
100,56157,1
101,162406,1
102,163865,1
103,143814,1
104,10289,1
105,23316,1
106,20885,1
107,150861,1
108,85473,1
109,168783,1
110,184446,1
111,97143,1
112,170961,1
113,159317,1
114,137787,1
115,60204,1
116,171726,1
117,36508,1
118,188007,1
119,60708,1
120,107463,1
121,83972,1
122,160508,1
123,11409,1
124,122080,1
125,40663,1
126,106131,1
127,84724,1
128,154860,1
129,8796,1
130,112582,1
131,34685,1
132,18349,1
133,45842,1
134,28092,1
135,88773,1
136,106275,1
137,127603,1
138,142920,1
139,42933,1
140,187034,1
141,31550,1
142,170182,1
143,9345,1
144,43010,1
145,176283,1
146,37363,1
147,163822,1
148,45279,1
149,199287,1
150,82759,1
151,130200,1
152,19152,1
153,173938,1
154,42853,1
155,83052,1
156,14228,1
157,117292,1
158,109161,1
159,55754,1
160,187092,1
161,20367,1
162,68725,1
163,193481,1
164,85102,1
165,183326,1
166,93296,1
167,126351,1
168,171378,1
169,91825,1
170,20116,1
171,172474,1
172,133395,1
173,73537,1
174,147123,1
175,59730,1
176,174131,1
177,195067,1
178,165609,1
179,107227,1
180,101670,1
181,45510,1
182,121280,1
183,126659,1
184,28364,1
185,173054,1
186,29834,1
187,80928,1
188,25580,1
189,142710,1
190,72773,1
191,86421,1
192,112814,1
193,189873,1
194,184628,1
195,158951,1
196,158503,1
197,7022,1
198,151799,1
199,129056,1
200,30141,1
201,92891,1
202,64412,1
203,159701,1
204,44932,1
205,63431,1
206,62988,1
207,167857,1
208,127806,1
209,137054,1
210,111097,1
211,54050,1
212,102842,1
213,18071,1
214,141716,1
215,133794,1
216,33507,1
217,158914,1
218,180149,1
219,89214,1
220,118856,1
221,83454,1
222,165107,1
223,82779,1
224,105485,1
225,86277,1
226,48908,1
227,129628,1
228,111146,1
229,62479,1
230,76985,1
231,109232,1
232,195759,1
233,172347,1
234,76884,1
235,173460,1
236,43072,1
237,70151,1
